yoga,imgs/interests/yoga.png,"On the constant path for better health, mind, body and spirit"
being green,imgs/interests/green.png,"So yeah, you compost, I'm obsessed with recycling, and you won't catch me in a gas guzzler"
gardening,imgs/interests/gardening.png,"You have a green thumb, or I'm working on it"
nutrition,imgs/interests/nutrition.png,"You're passionate about quality, free-range, wholesome and healthy food"
holistic remedies,imgs/interests/holisticremedies.png,You try not to rely too much on over-the-counter drugs
preschool,imgs/interests/preschool.png,What our the best schools? Where are they? How do I get in?
pregnancy,imgs/interests/pregnancy.png,Doing it right now or just been there and done that
cooking,imgs/interests/cooking.png,"You're not talking about making spagetti here or there, you LOVE to cook"
home birth,imgs/interests/homebirth.png,For those looking for a different birth experience
exercise,imgs/interests/exercise.png,Get it in when you can
paleo,imgs/interests/paleo.png,It's more of a lifestyle choice
gluten free,imgs/interests/glutenfree.png,For celiacs and those that know it's just not right for them
book lover,imgs/interests/booklover.png,"Fiction, nonfiction, you dig it all"
blogging,imgs/interests/blogging.png,Either you blog or are just plain out passionate about blogs
crafts,imgs/interests/crafts.png,"Sewing, knitting, art, you're an Etsy wizard"
playdates,imgs/interests/playdates.png,Interested in them and would like to do more
treehugger,imgs/interests/treehugger.png,"You love the great outdoors, and you're not ashamed of it"
fixer upper,imgs/interests/fixerupper.png,You know you're way around a power drill
dog lover,imgs/interests/doglover.png,"Cats vs. dogs, there's no contest to you"
cat lover,imgs/interests/catlover.png,"Cats vs. dogs, there's no contest to you"
crossfit,imgs/interests/crossfit.png,"You're workouts are a little than most, and you love the intensity"
